20778+|EM+|0+|+|Marcus+|T+|Rivera+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000001-0001-0001-0001-000000000001+|2024-01-01 00:00:00.000&|
20779+|EM+|0+|+|Danielle+|M+|Foster+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000002-0002-0002-0002-000000000002+|2024-01-01 00:00:00.000&|
20780+|EM+|0+|+|Carlos+|J+|Mendez+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000003-0003-0003-0003-000000000003+|2024-01-01 00:00:00.000&|
20781+|EM+|0+|+|Priya+|K+|Sharma+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000004-0004-0004-0004-000000000004+|2024-01-01 00:00:00.000&|
20782+|EM+|0+|+|Tyler+|R+|Johnson+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000005-0005-0005-0005-000000000005+|2024-01-01 00:00:00.000&|
20783+|EM+|0+|+|Fatima+|A+|Hassan+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000006-0006-0006-0006-000000000006+|2024-01-01 00:00:00.000&|
20784+|EM+|0+|+|Derek+|L+|Washington+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000007-0007-0007-0007-000000000007+|2024-01-01 00:00:00.000&|
20785+|EM+|0+|+|Nina+|E+|Kowalski+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000008-0008-0008-0008-000000000008+|2024-01-01 00:00:00.000&|
20786+|EM+|0+|+|Jamal+|O+|Thompson+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000009-0009-0009-0009-000000000009+|2024-01-01 00:00:00.000&|
20787+|EM+|0+|+|Elena+|V+|Petrov+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000010-0010-0010-0010-000000000010+|2024-01-01 00:00:00.000&|
20788+|EM+|0+|+|Kevin+|B+|O'Brien+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000011-0011-0011-0011-000000000011+|2024-01-01 00:00:00.000&|
20789+|EM+|0+|+|Aisha+|N+|Williams+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000012-0012-0012-0012-000000000012+|2024-01-01 00:00:00.000&|
20790+|EM+|0+|+|Scott+|P+|Martinez+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000013-0013-0013-0013-000000000013+|2024-01-01 00:00:00.000&|
